"Nabór", "Kosmonauta", "Data urodzenia", "Liczba EVA", "Długość EVA", "Liczba lotów", "Długość lotów", "Status"
"Energia Engineer Group 2", "Viktor I. Patsayev", "1933-06-19", "0", "", "1", "23d 18h 21m 43s", "Zmarł"
"Air Force Group 4", "Vladimir Borisovich Alekseyev", "1933-08-19", "0", "", "0", "", "Zmarł"
"Air Force Group 1", "Yevgeni Vassilyevich  Khrunov", "1933-09-10", "1", "53m", "1", "1d 23h 45m 50s", "Zmarł"
"Female Group 1", "Valentina Leonidovna Ponomaryova", "1933-09-18", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 1", "Mars Zakirovich Rafikov", "1933-09-30", "0", "", "0", "", "Zmarł"
"Air Force Group 1", "Yuri Alekseyevich  Gagarin", "1934-03-09", "0", "", "1", "1h 48m", "Zmarł"
"Air Force Group 1", "Grigori Grigoyevich Nelyubov", "1934-03-31", "0", "", "0", "", "Zmarł"
"Air Force Group 1", "Alexi A. Leonov", "1934-05-30", "1", "23m", "2", "7d 33m 8s", "Stan spoczynku"
"Energia Engineer Group 1", "Aleksei S. Yeliseyev", "1934-07-13", "1", "53m", "3", "8d 22h 22m 33s", "Stan spoczynku"
"Air Force Group 1", "Valeri Fyodorovich Bykovsky", "1934-08-02", "0", "", "3", "20d 17h 49m 21s", "Stan spoczynku"
"Air Force Group 1", "Valentin Stepanovich Varlamov", "1934-08-15", "0", "", "0", "", "Zmarł"
"Academy of Sciences Group", "Rudolf Gulyayev", "1934-11-14", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 1", "Viktor Vassilyevich Gorbatko", "1934-12-03", "0", "", "3", "30d 12h 49m 22s", "Zmarł"
"Air Force Group 1", "Boris Valentinovich  Volynov", "1934-12-18", "0", "", "2", "52d 7h 17m 47s", "Stan spoczynku"
"Energia Engineer Group 1", "Valeri N. Kubasov", "1935-01-07", "0", "", "3", "18d 17h 59m 22s", "Zmarł"
"Energia Engineer Group 4", "Vladimir V. Aksyonov", "1935-02-01", "0", "", "2", "11d 20h 11m 47s", "Stan spoczynku"
"Voskhod Physician Group", "Aleksandr Alekseyevich Kiselyov", "1935-06-13", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 2", "Eduard Pavlovich Kugno", "1935-06-27", "0", "", "0", "", "Zmarł"
"Energia Engineer Group 1 Supplemental", "Vitali I. Sevastyanov", "1935-07-08", "0", "", "2", "80d 16h 19m 3s", "Zmarł"
"Air Force Group 1", "Georgi Stepanovich Shonin", "1935-08-03", "0", "", "1", "4d 22h 42m 47s", "Zmarł"
"Air Force Group 3", "Mikhail Ivanovich Lisun", "1935-09-05", "0", "", "0", "", "Zmarł"
"Air Force Group 1", "Gherman Stepanovich  Titov", "1935-09-11", "0", "", "1", "1d 1h 18m", "Zmarł"
"Energia Engineer Group 1", "Gennadi Aleksandrovich Dogopolov", "1935-11-14", "0", "", "0", "", "Zmarł"
"Energia Engineer Group 1", "Vladislav N. Volkov", "1935-11-23", "0", "", "2", "28d 17h 2m 6s", "Zmarł"
"Air Force Group 2", "Eduard Ivanovich Buinovski", "1936-02-26", "0", "", "0", "", "Stan spoczynku"
"IMBP Group 4", "Yuri Nikolayevich Stepanov", "1936-09-27", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 3", "Gennadi Mikhailovich Kolesnikov", "1936-10-07", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 4", "Sergei Nikolayevich Gaidukov", "1936-10-31", "0", "", "0", "", "Zmarł"
"Air Force Group 4", "Mikhail Vladimirovich Sologub", "1936-11-06", "0", "", "0", "", "Zmarł"
"Air Force Group 1", "Valentin Vasilyevich Bondarenko", "1937-02-16", "0", "", "0", "", "Zmarł"
"Voskhod Physician Group", "Yuri Aleksandrovich Senkevich", "1937-03-04", "0", "", "0", "", "Zmarł"
"Female Group 1", "Valentina V. Tereshkova", "1937-03-06", "0", "", "1", "2d 22h 51m", "Stan spoczynku"
"Buran Group", "Igor P. Volk", "1937-04-12", "0", "", "1", "11d 19h 14m 36s", "Zmarł"
"Air Force Group 3", "Eduard Nikolayevich Stepanov", "1937-04-17", "0", "", "0", "", "Zmarł"
"Air Force Group 2", "Vladislav Ivanovich Gulyayev", "1937-05-31", "0", "", "0", "", "Zmarł"
"Voskhod Physician Group", "Yevgeni Aleksandrovich Illyin", "1937-08-17", "0", "", "0", "", "Stan spoczynku"
"Female Group 1", "Irina Bayanovna Solovyova", "1937-09-06", "0", "", "0", "", "Stan spoczynku"
"IMBP Group 1", "Georgi Vladimirovich Machinski", "1937-10-11", "0", "", "0", "", "Stan spoczynku"
"Voskhod Group", "Boris B. Yegorov", "1937-11-26", "0", "", "1", "1d 17m 3s", "Zmarł"
"Voskhod Group", "Boris Ivanovich Polyakov", "1938-05-10", "0", "", "0", "", "Stan spoczynku"
"Buran Group", "Oleg Grigoryevich Kononenko", "1938-08-16", "0", "", "0", "", "Zmarł"
"Academy of Sciences Group", "Ordinard Panteleymonovich Kolomitsev", "1939-01-29", "0", "", "0", "", "Zmarł"
"Air Force Group 3", "Vladimir Yevgenyevich Preobrazhensky", "1939-02-03", "0", "", "0", "", "Zmarł"
"Air Force Group 3", "Valeri I. Rozhdestvensky", "1939-02-13", "0", "", "1", "2d 6m 35s", "Zmarł"
"Almaz Engineer Group 3", "Alexi Anatolyevich Grechanik", "1939-03-25", "0", "", "0", "", "Stan spoczynku"
"Female Group 1", "Zhanna Dmitriyevna Yerkina", "1939-05-06", "0", "", "0", "", "Zmarł"
"Academy of Sciences Group", "Mars Nurgaliyevich Fathulin", "1939-05-14", "0", "", "0", "", "Zmarł"
"Air Force Group 3", "Ansar Ilgamovich Sharafutdinov", "1939-06-26", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 5", "Valeri Vasilyevich Illarianov", "1939-07-02", "0", "", "0", "", "Zmarł"
"Energia Engineer Group 4", "Valeri V. Ryumin", "1939-08-16", "1", "1h 23m", "4", "371d 17h 25m 51s", "Stan spoczynku"
"Air Force Group 3", "Yuri N. Glazkov", "1939-10-02", "0", "", "1", "17d 17h 27m", "Zmarł"
"Air Force Group 4", "Vladimir Mikhailovich Beloborodov", "1939-10-26", "0", "", "0", "", "Zmarł"
"Almaz Engineer Group 1", "Valery Grigoryevich Makrushin", "1940-01-14", "0", "", "0", "", "Stan spoczynku"
"Energia Engineer Group 5", "Viktor P. Savinykh", "1940-03-07", "1", "5h", "3", "252d 17h 37m 50s", "Stan spoczynku"
"Air Force Group 4", "Vladimir Timofeyevich Isakov", "1940-04-04", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 3", "Vasily Dmitriyevich Shcheglov", "1940-04-09", "0", "", "0", "", "Zmarł"
"Air Force Group 3", "Yevgeni Nikolayevich Khludeyev", "1940-09-10", "0", "", "0", "", "Zmarł"
"Energia Engineer Group 4", "Aleksandr S. Ivanchenkov", "1940-09-28", "1", "2h 20m", "2", "147d 12h 38m 24s", "Stan spoczynku"
"Energia Engineer Group 3", "Boris Dmityriyevich Andreyev", "1940-10-06", "0", "", "0", "", "Stan spoczynku"
"Energia Engineer Group 4", "Gennadi M. Strekalov", "1940-10-28", "6", "21h 41m", "5", "268d 22h 25m 9s", "Zmarł"
"Air Force Group 3", "Oleg Anatolyevich Yakovlev", "1940-12-31", "0", "", "0", "", "Zmarł"
"Almaz Engineer Group 2", "Dmitri Andreyevich Yuyukov", "1941-02-26", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 3", "Anatoli Pavlovich Fyodorov", "1941-04-14", "0", "", "0", "", "Zmarł"
"Buran Group", "Anatoli S. Levchenko", "1941-05-21", "0", "", "1", "7d 21h 58m 12s", "Zmarł"
"Female Group 1", "Tatyana Dmitryevna Kuznetsova", "1941-07-14", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 4", "Vladimir A. Lyakhov", "1941-07-20", "3", "7h 7m", "3", "333d 7h 48m 4s", "Stan spoczynku"
"Air Force Group 3", "Leonid D. Kizim", "1941-08-05", "8", "1d 7h 40m", "3", "374d 17h 58m 12s", "Zmarł"
"Air Force Group 4", "Viktor Mikhailovich Pisarev", "1941-08-15", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 4", "Yuri V. Malyshev", "1941-08-27", "0", "", "2", "11d 20h 18s", "Zmarł"
"Buran Group 1", "Nail Sharipovich Sattarov", "1941-12-23", "0", "", "0", "", "Zmarł"
"Air Force Group 3", "Gennadi V. Sarafanov", "1942-01-01", "0", "", "1", "2d 12m 11s", "Zmarł"
"Air Force Group 3", "Vyacheslav D. Zudov", "1942-01-08", "0", "", "1", "2d 6m 35s", "Stan spoczynku"
"Air Force Group 3", "Aleksandr Yakovlevich Petrushenko", "1942-01-10", "0", "", "0", "", "Zmarł"
"Air Force Group 4", "Vladimir Sergeyevich Kozelsky", "1942-01-12", "0", "", "0", "", "Stan spoczynku"
"Buran Group 1", "Ivan Ivanovich Bachurin", "1942-01-23", "0", "", "0", "", "Zmarł"
"Air Force Group 4", "Vladimir V. Kovalyonok", "1942-03-03", "1", "2h 20m", "3", "216d 9h 9m 40s", "Stan spoczynku"
"Air Force Group 5", "Anatoli Nikolayevich Berezovoi", "1942-04-11", "1", "2h 33m", "1", "211d 9h 4m 31s", "Zmarł"
"Energia Engineer Group 3", "Valentin V. Lebedev", "1942-04-14", "1", "2h 33m", "2", "219d 6h 6s", "Stan spoczynku"
"Air Force Group 3", "Valeri Abramovich Voloshin", "1942-04-24", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 3", "Vitali Andreyevich Grishchenko", "1942-04-26", "0", "", "0", "", "Zmarł"
"IMBP Group 1", "Valeri V. Polyakov", "1942-04-27", "0", "", "2", "678d 16h 33m 18s", "Stan spoczynku"
"Air Force Group 5", "Vladimir A. Dzhanibekov", "1942-05-13", "2", "8h 34m", "5", "145d 15h 58m 35s", "Stan spoczynku"
"Air Force Group 3", "Aleksandr Aleksandrovich Skvortsov, Sr.", "1942-06-08", "0", "", "0", "", "Aktywny"
"Air Force Group 3", "Pyotr I. Klimuk", "1942-07-10", "0", "", "3", "78d 18h 18m 42s", "Stan spoczynku"
"Air Force Group 3", "Aleksandr Yakovlevich Kramarenko", "1942-11-08", "0", "", "0", "", "Zmarł"
"Energia Engineer Group 5", "Aleksandr Pavlovich Aleksandrov", "1943-02-20", "2", "5h 44m", "2", "309d 18h 2m 58s", "Stan spoczynku"
"Air Force Group 5", "Yuri Fedorovich Isaulov", "1943-08-13", "0", "", "0", "", "Stan spoczynku"
"Buran Group 1", "Aleksandr Mikhailovich Sokovykh", "1944-01-12", "0", "", "0", "", "Stan spoczynku"
"Energia Engineer Group 5", "Aleksandr A. Serebrov", "1944-02-15", "10", "1d 7h 49m", "4", "372d 22h 53m 49s", "Zmarł"
"Buran Group 1", "Vladimir Yemeliyanovich Mosolov", "1944-02-22", "0", "", "0", "", "Stan spoczynku"
"Buran Group 1", "Viktor Martynovich Chirkin", "1944-07-13", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 5", "Anatoli Ivanovich Dedkov", "1944-07-27", "0", "", "0", "", "Zmarł"
"Air Force Group 5", "Yuri V. Romanenko", "1944-08-01", "4", "10h 16m", "3", "430d 18h 21m 30s", "Stan spoczynku"
"Air Force Group 5", "Vladimir Ivanovich Kozlov", "1945-02-10", "0", "", "0", "", "Zmarł"
"Air Force Group 5", "Nikolai Nikolayevich Fefelov", "1945-05-20", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 5", "Leonid I. Popov", "1945-08-31", "0", "", "3", "200d 14h 45m 51s", "Stan spoczynku"
"IMBP Group 2", "Gherman Semyonovich Arzamazov", "1946-03-09", "0", "", "0", "", "Stan spoczynku"
"MAP Group 3", "Viktor Viktorovich Zabolotski", "1946-04-19", "0", "", "0", "", "Stan spoczynku"
"Almaz Engineer Group 3", "Valeri Alexandrovich Romanov", "1946-08-18", "0", "", "0", "", "Zmarł"
"Energia Engineer Group 5", "Vladimir A. Solovyov", "1946-11-11", "8", "1d 7h 40m", "2", "361d 22h 50m 30s", "Stan spoczynku"
"Air Force Group 6", "Vladimir G. Titov", "1947-01-01", "4", "18h 48m", "4", "387d 45m 50s", "Stan spoczynku"
"Air Force Group 6", "Sergei Filipovich Protchenko", "1947-01-03", "0", "", "0", "", "Stan spoczynku"
"Almaz Engineer Group 3", "Vladimir Alexandrovich Khatulev", "1947-02-26", "0", "", "0", "", "Stan spoczynku"
"Female Group 2", "Larisa Grigoryevna Pozharskaya", "1947-03-15", "0", "", "0", "", "Zmarł"
"Air Force Group 7", "Aleksandr S. Viktorenko", "1947-03-29", "6", "19h 39m", "4", "489d 1h 35m 17s", "Stan spoczynku"
"MAP Group 4", "Yuri Petrovich Sheffer", "1947-06-30", "0", "", "0", "", "Zmarł"
"Journalist Group", "Aleksandr Stepanovich Andryushkov", "1947-10-06", "0", "", "0", "", "Zmarł"
"Female Group 2", "Yelena Ivanova Dobrokvashina", "1947-10-08", "0", "", "0", "", "Stan spoczynku"
"Energia Engineer Group 14 Supplemental", "Vladimir Steklov", "1948-01-03", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 6", "Anatoliy Y. Solovyov", "1948-01-16", "16", "3d 6h 48m", "5", "651d 3m 28s", "Stan spoczynku"
"Air Force Group 6", "Aleksandr Aleksandrovich Volkov", "1948-05-27", "2", "10h 12m", "3", "391d 11h 52m 16s", "Stan spoczynku"
"Female Group 2", "Svetlana Y. Savitskaya", "1948-08-08", "1", "3h 34m", "2", "19d 17h 7m", "Stan spoczynku"
"Buran Group 3 Supplemental", "Aleksandr Sergeyevich Puchkov", "1948-10-15", "0", "", "0", "", "Stan spoczynku"
"Journalist Group", "Valeri Vasiliyevich Baberdin", "1948-10-28", "0", "", "0", "", "Zmarł"
"MAP Group 2", "Ural Nazibovich Sultanov", "1948-11-18", "0", "", "0", "", "Stan spoczynku"
"Buran Group 2", "Viktor M. Afanasyev", "1948-12-31", "7", "1d 14h 33m", "4", "555d 18h 33m 52s", "Stan spoczynku"
"Air Force Group 6", "Nikolai Tikhonovich Moskalenko", "1949-01-01", "0", "", "0", "", "Zmarł"
"Cardiologist Group", "Oleg Yuryevich Atkov", "1949-05-09", "0", "", "1", "236d 22h 49m 34s", "Stan spoczynku"
"Air Force Group 12 Supplemental", "Yuri Michaylovich Baturin", "1949-06-12", "0", "", "2", "19d 17h 45m 41s", "Stan spoczynku"
"Female Group 2", "Yekaterina Aleksandrowna Ivanova", "1949-10-03", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 6", "Yevgeni Vladimirovich Saley", "1950-01-01", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 7", "Nikolai Sergeivich Grekov", "1950-02-15", "0", "", "0", "", "Stan spoczynku"
"Buran Group 2", "Gennadi M. Manakov", "1950-06-01", "3", "12h 43m", "2", "309d 21h 19m 36s", "Stan spoczynku"
"Air Force Group 6", "Leonid Georgiyevich Ivanov", "1950-06-25", "0", "", "0", "", "Zmarł"
"Buran Group 3 Supplemental", "Valery Yevgenyevich Maksimenko", "1950-07-16", "0", "", "0", "", "Stan spoczynku"
"IMBP Group 5", "Boris Vladimirovich Morukov", "1950-10-01", "0", "", "1", "11d 19h 12m 14s", "Zmarł"
"MAP Group 2", "Maghomed Omarovich Tolboyev", "1951-01-20", "0", "", "0", "", "Stan spoczynku"
"Energia Engineer Group 7", "Sergei Aleksandrovich Yemelyanov", "1951-03-03", "0", "", "0", "", "Zmarł"
"Energia Engineer Group 5", "Musa K. Manarov", "1951-03-22", "7", "1d 10h 32m", "2", "541d 29m 38s", "Stan spoczynku"
"Energia Engineer Group 5", "Aleksandr I. Laveykin", "1951-04-21", "3", "8h 48m", "1", "174d 3h 25m 56s", "Stan spoczynku"
"Journalist Group", "Svetlana Oktyabrevna Omelchenko", "1951-08-20", "0", "", "0", "", "Stan spoczynku"
"IMBP Group 2", "Mikhail Georgiyevich Potapov", "1951-10-28", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 6", "Vladimir V. Vasyutin", "1952-03-08", "0", "", "1", "64d 21h 52m 8s", "Zmarł"
"Female Group 2", "Tamara Sergeyevna Zakharova", "1952-04-22", "0", "", "0", "", "Stan spoczynku"
"Almaz Engineer Group 3", "Vladimir Mkrtychovich Gevorkyan", "1952-05-28", "0", "", "0", "", "Zmarł"
"Buran Group 3 Supplemental", "Nikolay Alekseyevich Pushenko", "1952-08-10", "0", "", "0", "", "Stan spoczynku"
"Buran Group 3", "Valery Ivanovich  Tokarev", "1952-10-29", "2", "11h 5m", "2", "199d 15h 5m 32s", "Stan spoczynku"
"IMBP Group 2", "Aleksandr Viktorovich Borodin", "1953-03-03", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 8", "Valeri G. Korzun", "1953-03-05", "4", "22h 22m", "2", "381d 15h 40m 36s", "Stan spoczynku"
"Female Group 2", "Irina Rudolfovna Pronina", "1953-04-14", "0", "", "0", "", "Stan spoczynku"
"Energia Engineer Group 10", "Nikolai Mikhailovich Budarin", "1953-04-29", "9", "1d 22h 1m", "3", "444d 1h 26m 1s", "Stan spoczynku"
"Female Group 2", "Irina Dmitrievna Latysheva", "1953-07-09", "0", "", "0", "", "Stan spoczynku"
"Energia Engineer Group 5", "Aleksandr Nikolayevich Balandin", "1953-07-30", "2", "10h 47m", "1", "179d 1h 17m 57s", "Stan spoczynku"
"Energia Engineer Group 11", "Pavel V. Vinogradov", "1953-08-31", "6", "1d 7h 47m", "3", "546d 22h 32m 33s", "Aktywny"
"Female Group 2", "Olga Nikolayevena Klyushnikova", "1953-10-14", "0", "", "0", "", "Stan spoczynku"
"Energia Engineer Group 10", "Aleksandr F. Poleshchuk", "1953-10-30", "2", "9h 58m", "1", "179d 43m 45s", "Stan spoczynku"
"MAP Group 5", "Yuri Victorovich Prikhodko", "1953-11-15", "0", "", "0", "", "Zmarł"
"Journalist Group", "Valeri Yuriyevich Sharov", "1953-12-26", "0", "", "0", "", "Zmarł"
"Khrunichev Engineer Group", "Sergey Ivanovich Moshchenko", "1954-01-17", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 8", "Vasili V. Tsibliyev", "1954-02-20", "6", "19h 12m", "2", "381d 15h 53m 2s", "Stan spoczynku"
"MAP Group 4", "Sergei Nikolayevich Tresvyatski", "1954-05-06", "0", "", "0", "", "Stan spoczynku"
"Female Group 2", "Galina Vasilyevna Amelkina", "1954-05-20", "0", "", "0", "", "Zmarł"
"Buran Group 3", "Aleksandr Nikolaevich Yablontsev", "1955-04-03", "0", "", "0", "", "Zmarł"
"Energia Engineer Group 9", "Sergei Vasilyevich Avdeyev", "1956-01-01", "10", "1d 17h 59m", "3", "747d 14h 14m 9s", "Stan spoczynku"
"Buran Group 3", "Anatoly Borisovich Polonski", "1956-01-01", "0", "", "0", "", "Stan spoczynku"
"Female Group 2", "Natalya Dmitriyevna Kuleshova", "1956-03-11", "0", "", "0", "", "Stan spoczynku"
"Energia Engineer Group 7", "Aleksandr Y. Kaleri", "1956-05-13", "5", "23h 26m", "5", "769d 6h 35m 23s", "Aktywny"
"Energia Engineer Group 15", "Sergei Aleksandrovich Zhukov", "1956-09-08", "0", "", "0", "", "Stan spoczynku"
"Buran Group 2", "Anatoli Pavlovich Artsebarsky", "1956-09-09", "6", "1d 8h 17m", "1", "144d 15h 21m 50s", "Stan spoczynku"
"Zvezda Engineer Group", "Vladimir Gayevich Severin", "1956-11-20", "0", "", "0", "", "Stan spoczynku"
"Energia Engineer Group 10", "Yelena V. Kondakova", "1957-03-30", "0", "", "2", "178d 10h 41m 31s", "Stan spoczynku"
"Energia Engineer Group 8", "Andrei Yevgenyevich Zaitsev", "1957-08-05", "0", "", "0", "", "Zmarł"
"Energia Engineer Group 10", "Yuri V. Usachyov", "1957-10-09", "7", "1d 6h 49m", "4", "552d 20h 24m 34s", "Stan spoczynku"
"Energia Engineer Group 11", "Aleksandr I. Lazutkin", "1957-10-30", "0", "", "1", "184d 22h 7m 40s", "Stan spoczynku"
"Air Force Group 11", "Sergei Yuriyevich Vozovikov", "1958-04-17", "0", "", "0", "", "Zmarł"
"Air Force Group 10", "Gennadi I. Padalka", "1958-06-21", "10", "1d 15h 1m", "5", "878d 11h 30m 12s", "Aktywny"
"Energia Engineer Group 11", "Sergei Ye Treschev", "1958-08-17", "1", "5h 21m", "1", "184d 22h 14m 23s", "Stan spoczynku"
"Energia Engineer Group 8", "Sergei K. Krikalyov", "1958-08-27", "8", "1d 11h 29m", "6", "803d 9h 38m 53s", "Stan spoczynku"
"IMBP Group 5", "Vasili Yuryevich Lukyanyuk", "1958-09-22", "0", "", "0", "", "Stan spoczynku"
"Energia Engineer Group 14", "Fyodor Nikolayevich  Yurchikhin", "1959-01-03", "9", "2d 11h 29m", "5", "673d 8h 38m 50s", "Aktywny"
"Energia Engineer Group 12", "Mikhail V. Tyurin", "1960-02-03", "5", "1d 1h 32m", "3", "532d 2h 51m 59s", "Aktywny"
"Air Force Group 12 Supplemental", "Yuri Georgiyevich  Shargin", "1960-03-20", "0", "", "1", "9d 21h 28m 41s", "Stan spoczynku"
"Energia Engineer Group 14 Supplemental", "Mikhail Borisovich  Korniyenko", "1960-04-15", "2", "12h 14m", "2", "516d 10h 1m 41s", "Aktywny"
"Air Force Group 10", "Yuri I. Onufrienko", "1961-02-06", "8", "1d 18h 32m", "2", "389d 14h 45m 48s", "Stan spoczynku"
"Air Force Group 8", "Yuri I. Malenchenko", "1961-12-22", "6", "1d 11h 16m", "6", "827d 9h 24m 53s", "Stan spoczynku"
"Air Force Group 8", "Yuri P. Gidzenko", "1962-03-26", "2", "3h 35m", "3", "329d 22h 45m 58s", "Stan spoczynku"
"Air Force Group 11", "Sergy V. Zalyotin", "1962-04-21", "1", "4h 52m", "2", "83d 16h 35m 25s", "Stan spoczynku"
"Air Force Group 8", "Vladimir N. Dezhurov", "1962-07-30", "9", "1d 13h 36m", "2", "244d 5h 27m 56s", "Stan spoczynku"
"Energia Engineer Group 12", "Nadezda Vasilyevna Kyzhelnaya", "1962-11-06", "0", "", "0", "", "Stan spoczynku"
"IMBP Group 5", "Vladimir Vladimirovich Karashtin", "1962-11-18", "0", "", "0", "", "Zmarł"
"Energia Engineer Group 14 Supplemental", "Sergei Kostenko", "1963-04-20", "0", "", "0", "", "Stan spoczynku"
"Energia Engineer Group 15", "Andrei  Ivanovich Borisenko", "1964-04-17", "0", "", "2", "337d 8h 56m 10s", "Aktywny"
"Air Force Group 12", "Oleg Yuriyevich Moshkin", "1964-04-23", "0", "", "0", "", "Stan spoczynku"
"Air Force Group 11", "Saliszan S. Sharipov", "1964-08-24", "2", "9h 58m", "2", "201d 14h 48m 53s", "Stan spoczynku"
"Air Force Group 12", "Yuri V. Lonchakov", "1965-04-03", "2", "10h 26m", "3", "200d 18h 36m 46s", "Stan spoczynku"
